City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Guadalupe,MX,78.85,clear sky,25.6833,-100.25,Fiesta Inn Monterrey Fundidora
297,Hambantota,LK,81.41,scattered clouds,6.1241,81.1185,Bungalow 63
299,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
303,Palembang,ID,80.69,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
305,San Policarpo,PH,84.38,overcast clouds,12.1791,125.5072,Agapita M. Nicart
306,Tutoia,BR,80.04,overcast clouds,-2.7619,-42.2744,Pousada Guará's
308,Aquiraz,BR,81.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
312,Sibu,MY,83.52,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
314,Wagar,SD,79.43,clear sky,16.1525,36.2032,
320,Salinopolis,BR,80.2,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
323,Nisia Floresta,BR,79.61,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
331,Bontang,ID,84.16,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
335,Moroni,KM,77.22,overcast clouds,-11.7022,43.2551,Hotel les Arcades
340,Goure,NE,84.02,few clouds,13.9835,10.2704,
348,Pochutla,MX,76.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
349,Buala,SB,85.68,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
353,Road Town,VG,82.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
356,Lahij,YE,75.78,clear sky,13.1667,44.5833,
362,Jertih,MY,83.26,light rain,5.7336,102.4897,One Utama Hotel
363,Tumalaytay,PH,83.1,broken clouds,12.2758,123.232,
364,Sabang,ID,81.3,moderate rain,5.8933,95.3214,Hotel Citra
365,Sinnamary,GF,78.42,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
370,Les Cayes,HT,78.49,overcast clouds,18.2,-73.75,Villa Orphee
376,Srandakan,ID,84.72,few clouds,-7.9386,110.2506,Puri Brata
377,Mecca,SA,78.39,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
380,Lagunas,PE,78.85,few clouds,-5.2269,-75.6753,Hospedaje Eco
386,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
390,Chiang Klang,TH,78.26,broken clouds,19.2938,100.8617,Sangthong Resort
393,Denpasar,ID,83.86,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
395,Micheweni,TZ,78.42,overcast clouds,-4.9667,39.8333,
398,Ballina,AU,87.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
402,Sattenapalle,IN,78.19,light rain,16.4,80.1833,Subhani hot hot tiffen ceanter
403,Balabac,PH,78.67,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
404,Alim,PH,82.45,overcast clouds,9.5649,122.4876,Calamai Tropica
407,Sertania,BR,75.74,overcast clouds,-8.0736,-37.2644,Hotel Esperança
411,Tunggol,PH,81.66,overcast clouds,5.8446,121.1544,
417,Paka,MY,82.89,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
419,Thinadhoo,MV,82.53,moderate rain,0.5333,72.9333,
420,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
421,Ayorou,NE,84.92,overcast clouds,14.7308,0.9174,Hotel Amenokal
423,Caxito,AO,75.85,light rain,-8.5785,13.6643,
424,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
425,Tete,MZ,81.28,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
426,Kudahuvadhoo,MV,82.4,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
427,Palimbang,PH,85.48,broken clouds,6.2106,124.1894,Felmar Beach resort
438,Kavieng,PG,85.96,few clouds,-2.5744,150.7967,Nusa Island Retreat
439,Jacmel,HT,82.24,broken clouds,18.2342,-72.5347,Historic Hotel Florita
442,Daru,PG,84.2,overcast clouds,-9.0763,143.2092,Daru Lodge
448,Pemangkat,ID,82.78,scattered clouds,1.1667,108.9667,Ramah Kost KITA
450,Campo Maior,BR,77.72,scattered clouds,-4.8278,-42.1686,Elite Hotel
