City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Canchungo,GW,12.0672,-16.0333,78.67,84,100,1.39,light rain
80,Yining,CN,29.0361,114.5636,63.72,60,1,2.33,clear sky
81,Banda Aceh,ID,5.5577,95.3222,81.37,75,100,0.98,overcast clouds
82,Nome,US,64.5011,-165.4064,32.07,74,1,4.61,clear sky
83,Moose Factory,CA,51.2585,-80.6094,35.58,100,90,2.3,mist
84,Ilinge,ZA,-31.9768,27.0427,44.08,72,55,6.64,broken clouds
85,Jacala,MX,21.0167,-99.1833,58.44,96,93,1.63,overcast clouds
86,Tabou,CI,4.423,-7.3528,76.95,88,80,5.26,broken clouds
87,San Andres,CO,12.5847,-81.7006,82.42,83,40,4.61,scattered clouds
88,Ribeira Grande,PT,38.5167,-28.7,67.12,64,54,11.21,broken clouds
89,Carnarvon,AU,-24.8667,113.6333,75.27,69,0,14.97,clear sky
90,Port-Cartier,CA,50.0334,-66.8654,46.96,94,100,2.21,overcast clouds
91,Baykit,RU,61.67,96.37,34.57,96,100,8.88,light rain
92,Georgetown,MY,5.4112,100.3354,84.13,79,20,4.61,few clouds
93,Hithadhoo,MV,-0.6,73.0833,82.74,71,100,11.34,overcast clouds
94,Mar Del Plata,AR,-38.0023,-57.5575,52.88,68,20,3.0,few clouds
95,Clyde River,CA,70.4692,-68.5914,17.74,83,93,11.97,overcast clouds
96,Torbay,CA,47.6666,-52.7314,59.76,96,100,10.09,light rain
97,Big Rapids,US,43.6981,-85.4837,39.74,100,1,0.0,clear sky
98,Arroio Grande,BR,-32.2375,-53.0869,55.71,97,28,6.62,scattered clouds
99,Tiarei,PF,-17.5333,-149.3333,80.62,88,100,20.07,light rain
100,Copiapo,CL,-27.3667,-70.3333,51.49,66,0,1.9,clear sky
101,Rikitea,PF,-23.1203,-134.9692,74.91,80,100,19.13,overcast clouds
102,Srednekolymsk,RU,67.45,153.6833,-2.42,87,45,4.29,scattered clouds
103,Aguas Buenas,PR,18.2569,-66.1029,79.63,89,10,3.36,clear sky
104,Pakxan,LA,18.3778,103.6601,74.93,66,36,4.41,scattered clouds
105,Mataura,NZ,-46.1927,168.8643,67.66,55,99,1.54,light rain
